order_item_id,order_id,product_id,quantity,unit_price
1,1,14,1,21714.55
2,1,4,1,12764.76
3,2,28,1,470.42
4,3,6,1,33938.58
5,3,7,1,23088.42
6,4,43,1,24226.27
7,5,4,1,12764.76
8,5,32,1,5145.04
9,5,37,1,30424.4
10,6,19,1,20611.38
11,6,50,1,19975.03
12,6,20,1,7441.9
13,6,21,1,9659.58
14,7,2,1,8878.17
15,7,15,1,6095.52
16,7,35,1,33955.92
17,7,23,1,1664.26
18,8,25,1,11269.93
19,9,50,1,19975.03
20,10,14,1,21714.55
21,10,13,1,15251.23
22,10,27,1,34536.05
23,11,28,1,470.42
24,12,20,1,7441.9
25,13,49,1,30515.02
26,14,10,1,8490.19
27,14,37,1,30424.4
28,15,29,1,22477.1
29,15,14,1,21714.55
30,16,24,1,15990.76
31,16,32,1,5145.04
32,17,4,1,12764.76
33,17,11,1,6189.77
34,17,37,1,30424.4
35,17,50,1,19975.03
36,18,46,1,3997.88
37,18,42,1,1353.46
38,18,18,1,29592.56
39,19,22,1,18731.11
40,19,47,1,34979.66
41,20,9,1,33952.76
42,20,13,1,15251.23
43,21,49,1,30515.02
44,21,34,1,7303.52
45,21,13,1,15251.23
46,22,28,1,470.42
47,22,44,1,7783.14
48,22,9,1,33952.76
49,23,27,1,34536.05
50,24,1,1,29947.02
51,25,43,1,24226.27
52,25,42,1,1353.46
53,26,4,1,12764.76
54,26,33,1,10984.48
55,26,15,1,6095.52
56,27,36,1,23638.97
57,28,27,1,34536.05
58,28,39,1,33078.06
59,28,45,1,13966.49
60,28,49,1,30515.02
61,29,46,1,3997.88
62,29,10,1,8490.19
63,29,3,1,15751.54
64,29,21,1,9659.58
65,30,43,1,24226.27
66,31,44,1,7783.14
67,31,8,1,27139.29
68,31,35,1,33955.92
69,31,1,1,29947.02
70,32,13,1,15251.23
71,33,2,1,8878.17
72,34,24,1,15990.76
73,34,26,1,1741.62
74,35,11,1,6189.77
75,35,12,1,11993.35
76,35,37,1,30424.4
77,35,43,1,24226.27
78,36,3,1,15751.54
79,36,9,1,33952.76
80,37,25,1,11269.93
81,38,12,1,11993.35
82,38,27,1,34536.05
83,38,33,1,10984.48
84,39,44,1,7783.14
85,39,30,1,16078.93
86,39,38,1,24333.81
87,39,2,1,8878.17
88,40,6,1,33938.58
89,41,12,1,11993.35
90,41,49,1,30515.02
91,41,33,1,10984.48
92,41,18,1,29592.56
93,42,21,1,9659.58
94,42,45,1,13966.49
95,42,1,1,29947.02
96,42,44,1,7783.14
97,43,36,1,23638.97
98,43,28,1,470.42
99,44,36,1,23638.97
100,44,37,1,30424.4
101,44,4,1,12764.76
102,45,23,1,1664.26
103,45,2,1,8878.17
104,45,27,1,34536.05
105,46,29,1,22477.1
106,46,50,1,19975.03
107,46,24,1,15990.76
108,47,42,1,1353.46
109,48,6,1,33938.58
110,48,29,1,22477.1
111,49,35,1,33955.92
112,50,13,1,15251.23
113,51,8,1,27139.29
114,51,7,1,23088.42
115,51,34,1,7303.52
116,52,13,1,15251.23
117,52,34,1,7303.52
118,52,43,1,24226.27
119,52,16,1,1571.54
120,53,47,1,34979.66
121,53,21,1,9659.58
122,53,39,1,33078.06
123,53,16,1,1571.54
124,54,24,1,15990.76
125,54,38,1,24333.81
126,54,16,1,1571.54
127,55,6,1,33938.58
128,55,31,1,17262.47
129,55,37,1,30424.4
130,56,22,1,18731.11
131,57,7,1,23088.42
132,57,2,1,8878.17
133,57,19,1,20611.38
134,58,9,1,33952.76
135,58,11,1,6189.77
136,58,13,1,15251.23
137,58,15,1,6095.52
138,59,36,1,23638.97
139,60,19,1,20611.38
140,60,41,1,30450.87
141,60,12,1,11993.35
142,60,8,1,27139.29
143,61,6,1,33938.58
144,61,39,1,33078.06
145,61,1,1,29947.02
146,61,16,1,1571.54
147,62,7,1,23088.42
148,63,31,1,17262.47
149,64,17,1,23333.68
150,64,5,1,5973.44
151,64,20,1,7441.9
152,65,46,1,3997.88
153,65,39,1,33078.06
154,66,10,1,8490.19
155,66,40,1,17551.46
156,67,46,1,3997.88
157,67,23,1,1664.26
158,67,6,1,33938.58
159,67,38,1,24333.81
160,68,41,1,30450.87
161,68,21,1,9659.58
162,68,46,1,3997.88
163,68,25,1,11269.93
164,69,33,1,10984.48
165,69,28,1,470.42
166,69,36,1,23638.97
167,69,29,1,22477.1
168,70,34,1,7303.52
169,70,6,1,33938.58
170,70,40,1,17551.46
171,70,16,1,1571.54
172,71,39,1,33078.06
173,71,10,1,8490.19
174,72,8,1,27139.29
175,72,45,1,13966.49
176,73,2,1,8878.17
177,73,32,1,5145.04
178,73,10,1,8490.19
179,73,42,1,1353.46
180,74,30,1,16078.93
181,75,41,1,30450.87
182,76,5,1,5973.44
183,76,35,1,33955.92
184,76,42,1,1353.46
185,76,20,1,7441.9
186,77,12,1,11993.35
187,78,28,1,470.42
188,78,17,1,23333.68
189,79,7,1,23088.42
190,79,16,1,1571.54
191,80,18,1,29592.56
192,80,1,1,29947.02
193,80,47,1,34979.66
194,80,28,1,470.42
195,81,45,1,13966.49
196,81,7,1,23088.42
197,81,29,1,22477.1
198,81,32,1,5145.04
199,82,12,1,11993.35
200,82,42,1,1353.46
201,82,36,1,23638.97
202,83,46,1,3997.88
203,83,35,1,33955.92
204,83,44,1,7783.14
205,83,19,1,20611.38
206,84,24,1,15990.76
207,84,19,1,20611.38
208,84,50,1,19975.03
209,84,4,1,12764.76
210,85,17,1,23333.68
211,85,24,1,15990.76
212,85,12,1,11993.35
213,85,14,1,21714.55
214,86,1,1,29947.02
215,86,48,1,34207.92
216,87,20,1,7441.9
217,88,13,1,15251.23
218,88,2,1,8878.17
219,88,6,1,33938.58
220,89,14,1,21714.55
221,89,20,1,7441.9
222,90,21,1,9659.58
223,90,44,1,7783.14
224,90,20,1,7441.9
225,91,3,1,15751.54
226,91,5,1,5973.44
227,91,20,1,7441.9
228,92,8,1,27139.29
229,92,49,1,30515.02
230,92,21,1,9659.58
231,92,30,1,16078.93
232,93,49,1,30515.02
233,94,16,1,1571.54
234,94,42,1,1353.46
235,95,18,1,29592.56
236,95,2,1,8878.17
237,95,45,1,13966.49
238,95,31,1,17262.47
239,96,38,1,24333.81
240,97,43,1,24226.27
241,97,48,1,34207.92
242,98,48,1,34207.92
243,98,44,1,7783.14
244,99,16,1,1571.54
245,99,8,1,27139.29
246,99,10,1,8490.19
247,99,13,1,15251.23
248,100,2,1,8878.17
249,100,42,1,1353.46
250,100,39,1,33078.06
251,101,31,1,17262.47
252,101,48,1,34207.92
253,101,9,1,33952.76
254,101,17,1,23333.68
255,102,13,1,15251.23
256,102,18,1,29592.56
257,103,2,1,8878.17
258,103,19,1,20611.38
259,104,43,1,24226.27
260,104,7,1,23088.42
261,104,24,1,15990.76
262,105,50,1,19975.03
263,106,26,1,1741.62
264,107,16,1,1571.54
265,107,14,1,21714.55
266,107,36,1,23638.97
267,108,29,1,22477.1
268,109,29,1,22477.1
269,110,43,1,24226.27
270,111,20,1,7441.9
271,111,6,1,33938.58
272,112,2,1,8878.17
273,112,35,1,33955.92
274,113,29,1,22477.1
275,114,39,1,33078.06
276,115,2,1,8878.17
277,115,10,1,8490.19
278,115,38,1,24333.81
279,115,27,1,34536.05
280,116,49,1,30515.02
281,116,31,1,17262.47
282,117,38,1,24333.81
283,117,3,1,15751.54
284,117,32,1,5145.04
285,117,2,1,8878.17
286,118,27,1,34536.05
287,118,44,1,7783.14
288,118,11,1,6189.77
289,119,24,1,15990.76
290,119,35,1,33955.92
291,120,31,1,17262.47
292,121,20,1,7441.9
293,122,1,1,29947.02
294,123,9,1,33952.76
295,124,28,1,470.42
296,125,7,1,23088.42
297,126,12,1,11993.35
298,126,16,1,1571.54
299,126,9,1,33952.76
300,126,3,1,15751.54
301,127,24,1,15990.76
302,127,43,1,24226.27
303,127,11,1,6189.77
304,128,35,1,33955.92
305,128,19,1,20611.38
306,129,46,1,3997.88
307,129,32,1,5145.04
308,129,31,1,17262.47
309,129,18,1,29592.56
310,130,38,1,24333.81
311,130,2,1,8878.17
312,130,37,1,30424.4
313,131,22,1,18731.11
314,132,13,1,15251.23
